No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team,year
16,土田　瑞起,投手,1990/01/01,27歳,6年,181cm,90kg,O型,右右,長崎,800万円,巨人,2017
17,大竹　寛,投手,1983/05/21,34歳,16年,184cm,94kg,B型,右右,埼玉,"7,000万円",巨人,2017
18,杉内　俊哉,投手,1980/10/30,37歳,16年,175cm,82kg,A型,左左,福岡,"5,000万円",巨人,2017
18,田島　洸成,内野手,1996/07/13,21歳,2年,175cm,80kg,A型,右左,埼玉,240万円,巨人,2017
19,菅野　智之,投手,1989/10/11,28歳,5年,186cm,92kg,A型,右右,神奈川,"23,000万円",巨人,2017
19,大竹　秀義,投手,1988/07/26,29歳,2年,180cm,85kg,AB型,右右,埼玉,265万円,巨人,2017
20,橋本　篤郎,投手,1998/02/24,19歳,2年,178cm,85kg,B型,左左,熊本,245万円,巨人,2017
20,マシソン,投手,1984/02/27,33歳,6年,191cm,104kg,不明,右右,カナダ,"28,500万円",巨人,2017
21,矢島　陽平,投手,1990/06/16,27歳,2年,179cm,84kg,AB型,右右,埼玉,290万円,巨人,2017
21,吉川　光夫,投手,1988/04/06,29歳,11年,178cm,76kg,O型,左左,福岡,"9,500万円",巨人,2017
22,ソリマン,投手,1989/08/11,28歳,2年,188cm,100kg,不明,右右,ドミニカ共和国,300万円,巨人,2017
22,小林　誠司,捕手,1989/06/07,28歳,4年,178cm,83kg,O型,右右,大阪,"5,000万円",巨人,2017
23,坂口　真規,内野手,1990/09/29,27歳,5年,187cm,95kg,A型,右右,和歌山,575万円,巨人,2017
23,相川　亮二,捕手,1976/07/11,41歳,23年,183cm,86kg,A型,右右,千葉,"4,500万円",巨人,2017
24,田中　大輝,投手,1992/08/07,25歳,3年,182cm,80kg,O型,左左,熊本,720万円,巨人,2017
25,村田　修一,内野手,1980/12/28,37歳,15年,177cm,92kg,AB型,右右,福岡,"22,000万円",巨人,2017
25,アダメス,投手,1994/09/27,23歳,2年,193cm,86kg,不明,右右,ドミニカ共和国,300万円,巨人,2017
26,内海　哲也,投手,1982/04/29,35歳,14年,186cm,95kg,A型,左左,京都,"20,000万円",巨人,2017
26,メルセデス,投手,1994/03/08,23歳,1年,188cm,82kg,不明,左左,ドミニカ共和国,230万円,巨人,2017
27,實松　一成,捕手,1981/01/18,36歳,19年,177cm,85kg,A型,右右,佐賀,"3,700万円",巨人,2017
27,マルティネス,内野手,1993/03/29,24歳,1年,188cm,77kg,不明,右両,ドミニカ共和国,230万円,巨人,2017
28,高木　京介,投手,1989/09/05,28歳,5年,183cm,83kg,AB型,左左,石川,230万円,巨人,2017
28,畠　世周,投手,1994/05/31,23歳,1年,186cm,78kg,AB型,右左,広島,"1,200万円",巨人,2017
30,宮國　椋丞,投手,1992/04/17,25歳,7年,186cm,84kg,B型,右右,沖縄,"2,700万円",巨人,2017
31,松本　哲也,外野手,1984/07/03,33歳,11年,168cm,70kg,O型,左左,山梨,"2,400万円",巨人,2017
32,橋本　到,外野手,1990/04/28,27歳,9年,172cm,78kg,O型,右左,宮城,"2,900万円",巨人,2017
33,マギー,内野手,1982/10/12,35歳,2年,185cm,100kg,不明,右右,アメリカ,"19,000万円",巨人,2017
35,西村　健太朗,投手,1985/05/10,32歳,14年,184cm,94kg,A型,右右,広島,"7,800万円",巨人,2017
36,桜井　俊貴,投手,1993/10/21,24歳,2年,181cm,82kg,AB型,右右,兵庫,"1,200万円",巨人,2017
37,田原　誠次,投手,1989/09/02,28歳,6年,180cm,80kg,A型,右左,宮崎,"4,500万円",巨人,2017
38,岡本　和真,内野手,1996/06/30,21歳,3年,185cm,96kg,A型,右右,奈良,"1,200万円",巨人,2017
39,マイコラス,投手,1988/08/23,29歳,3年,196cm,100kg,不明,右右,アメリカ,"24,000万円",巨人,2017
40,谷岡　竜平,投手,1996/03/21,21歳,1年,181cm,79kg,A型,右右,埼玉,"1,000万円",巨人,2017
42,山口　俊,投手,1987/07/11,30歳,12年,187cm,97kg,O型,右右,大分,"8,000万円",巨人,2017
43,重信　慎之介,外野手,1993/04/17,24歳,2年,173cm,70kg,A型,右左,千葉,"1,400万円",巨人,2017
44,カミネロ,投手,1987/06/16,30歳,1年,193cm,111kg,不明,右右,ドミニカ共和国,"14,000万円",巨人,2017
45,今村　信貴,投手,1994/03/15,23歳,6年,180cm,84kg,AB型,左左,大阪,"1,600万円",巨人,2017
46,與那原　大剛,投手,1998/03/09,19歳,2年,190cm,89kg,A型,右右,沖縄,610万円,巨人,2017
47,山口　鉄也,投手,1983/11/11,34歳,12年,184cm,88kg,A型,左左,神奈川,"32,000万円",巨人,2017
48,池田　駿,投手,1992/11/29,25歳,1年,174cm,71kg,A型,左左,新潟,"1,000万円",巨人,2017
49,石川　慎吾,外野手,1993/04/27,24歳,6年,178cm,76kg,O型,右右,大阪,"1,000万円",巨人,2017
50,戸根　千明,投手,1992/10/17,25歳,3年,174cm,97kg,A型,左左,京都,"2,500万円",巨人,2017
51,堂上　剛裕,外野手,1985/05/27,32歳,14年,184cm,93kg,O型,右左,愛知,"2,000万円",巨人,2017
52,宇佐見　真吾,捕手,1993/06/04,24歳,2年,181cm,87kg,O型,右左,千葉,800万円,巨人,2017
53,髙田　萌生,投手,1998/07/04,19歳,1年,178cm,75kg,A型,右右,岡山,500万円,巨人,2017
54,高木　勇人,投手,1989/07/13,28歳,3年,178cm,90kg,A型,右右,三重,"3,700万円",巨人,2017
56,山本　泰寛,内野手,1993/10/10,24歳,2年,176cm,76kg,B型,右右,東京,"1,280万円",巨人,2017
57,藤村　大介,内野手,1989/07/25,28歳,10年,174cm,74kg,AB型,右左,熊本,"1,000万円",巨人,2017
58,立岡　宗一郎,外野手,1990/05/18,27歳,9年,181cm,81kg,A型,右左,熊本,"2,900万円",巨人,2017
59,柿澤　貴裕,内野手,1994/07/30,23歳,5年,179cm,80kg,A型,右左,鹿児島,550万円,巨人,2017
60,乾　真大,投手,1988/12/08,29歳,7年,176cm,82kg,A型,左左,兵庫,950万円,巨人,2017
61,中井　大介,内野手,1989/11/27,28歳,10年,183cm,88kg,B型,右右,三重,"1,440万円",巨人,2017
62,江柄子　裕樹,投手,1986/11/14,31歳,6年,184cm,82kg,B型,右右,東京,"1,100万円",巨人,2017
64,大江　竜聖,投手,1999/01/15,18歳,1年,173cm,78kg,A型,左左,神奈川,480万円,巨人,2017
65,辻　東倫,内野手,1994/08/11,23歳,5年,181cm,83kg,B型,右左,三重,900万円,巨人,2017
66,北　篤,外野手,1988/11/26,29歳,11年,183cm,86kg,A型,右左,石川,870万円,巨人,2017
67,和田　恋,内野手,1995/09/26,22歳,4年,180cm,84kg,O型,右右,高知,780万円,巨人,2017
68,吉川　大幾,内野手,1992/08/21,25歳,7年,176cm,80kg,A型,右両,大阪,"1,700万円",巨人,2017
69,松崎　啄也,捕手,1992/01/20,25歳,2年,174cm,90kg,O型,右右,栃木,720万円,巨人,2017
90,田口　麗斗,投手,1995/09/14,22歳,4年,171cm,83kg,B型,左左,広島,"5,000万円",巨人,2017
91,中川　皓太,投手,1994/02/24,23歳,2年,183cm,86kg,A型,左左,大阪,840万円,巨人,2017
92,篠原　慎平,投手,1990/06/13,27歳,3年,186cm,97kg,A型,右左,愛媛,420万円,巨人,2017
93,巽　大介,投手,1997/04/26,20歳,2年,183cm,85kg,AB型,左左,鳥取,550万円,巨人,2017
94,河野　元貴,捕手,1991/06/14,26歳,8年,180cm,83kg,B型,右左,福岡,670万円,巨人,2017
95,鬼屋敷　正人,捕手,1991/06/19,26歳,8年,178cm,84kg,O型,右右,三重,620万円,巨人,2017
96,長谷川　潤,投手,1991/06/15,26歳,2年,186cm,82kg,B型,右右,東京,500万円,巨人,2017
97,廖任磊,投手,1993/08/30,24歳,1年,201cm,125kg,O型,右右,台湾,800万円,巨人,2017
1,友永　翔太,外野手,1991/04/01,26歳,3年,170cm,74kg,O型,右左,神奈川,750万円,中日,2017
2,荒木　雅博,内野手,1977/09/13,40歳,22年,180cm,74kg,A型,右右,熊本,"7,040万円",中日,2017
3,高橋　周平,内野手,1994/01/18,23歳,6年,180cm,85kg,O型,右左,神奈川,"1,900万円",中日,2017
4,藤井　淳志,外野手,1981/05/20,36歳,12年,182cm,81kg,O型,右両,愛知,"4,000万円",中日,2017
5,阿部　寿樹,内野手,1989/12/03,28歳,2年,185cm,80kg,B型,右右,岩手,"1,000万円",中日,2017
6,平田　良介,外野手,1988/03/23,29歳,12年,177cm,88kg,B型,右右,大阪,"12,000万円",中日,2017
7,森野　将彦,内野手,1978/07/28,39歳,21年,180cm,85kg,AB型,右左,神奈川,"8,400万円",中日,2017
8,大島　洋平,外野手,1985/11/09,32歳,8年,176cm,74kg,A型,左左,愛知,"15,000万円",中日,2017
9,石川　駿,内野手,1990/05/26,27歳,3年,178cm,82kg,A型,右右,滋賀,650万円,中日,2017
11,小笠原　慎之介,投手,1997/10/08,20歳,2年,180cm,83kg,A型,左左,神奈川,"1,800万円",中日,2017
12,田島　慎二,投手,1989/12/21,28歳,6年,181cm,84kg,B型,右右,愛知,"8,200万円",中日,2017
13,岩瀬　仁紀,投手,1974/11/10,43歳,19年,181cm,85kg,AB型,左左,愛知,"5,000万円",中日,2017
14,佐藤　優,投手,1993/06/29,24歳,2年,187cm,85kg,O型,右左,宮城,"1,200万円",中日,2017
16,又吉　克樹,投手,1990/11/04,27歳,4年,180cm,74kg,A型,右右,沖縄,"5,000万円",中日,2017
17,柳　裕也,投手,1994/04/22,23歳,1年,180cm,83kg,A型,右右,宮崎,"1,500万円",中日,2017
18,鈴木　翔太,投手,1995/06/16,22歳,4年,183cm,74kg,O型,右右,静岡,450万円,中日,2017
19,吉見　一起,投手,1984/09/19,33歳,12年,182cm,91kg,A型,右右,京都,"8,000万円",中日,2017
20,野村　亮介,投手,1993/07/09,24歳,3年,187cm,85kg,A型,右右,静岡,848万円,中日,2017
21,岡田　俊哉,投手,1991/12/05,26歳,8年,179cm,65kg,A型,左左,和歌山,"4,000万円",中日,2017
22,大野　雄大,投手,1988/09/26,29歳,7年,183cm,78kg,O型,左左,京都,"8,640万円",中日,2017
23,遠藤　一星,内野手,1989/03/23,28歳,3年,182cm,78kg,O型,右左,東京,"1,200万円",中日,2017
24,福谷　浩司,投手,1991/01/09,26歳,5年,183cm,90kg,B型,右右,愛知,"3,500万円",中日,2017
25,武藤　祐太,投手,1989/06/14,28歳,7年,178cm,85kg,O型,右右,埼玉,"1,300万円",中日,2017
26,井領　雅貴,外野手,1989/11/04,28歳,3年,174cm,82kg,O型,右左,千葉,800万円,中日,2017
28,丸山　泰資,投手,1995/02/05,22歳,1年,176cm,79kg,O型,右右,愛知,720万円,中日,2017
29,山井　大介,投手,1978/05/10,39歳,16年,179cm,82kg,A型,右右,大阪,"12,000万円",中日,2017
30,阿知羅　拓馬,投手,1992/11/20,25歳,4年,190cm,95kg,B型,右右,大阪,800万円,中日,2017
31,野本　圭,外野手,1984/07/07,33歳,9年,180cm,81kg,B型,左左,岡山,"1,300万円",中日,2017
32,石垣　雅海,内野手,1998/09/21,19歳,1年,180cm,85kg,B型,右右,山形,540万円,中日,2017
33,祖父江　大輔,投手,1987/08/11,30歳,4年,175cm,78kg,B型,右左,愛知,"3,000万円",中日,2017
34,福　敬登,投手,1992/06/16,25歳,2年,178cm,87kg,O型,左左,兵庫,"1,300万円",中日,2017
35,木下　拓哉,捕手,1991/12/18,26歳,2年,183cm,92kg,B型,右右,高知,"1,000万円",中日,2017
36,石岡　諒太,内野手,1992/05/25,25歳,2年,187cm,90kg,A型,左左,兵庫,750万円,中日,2017
37,三ツ俣　大樹,内野手,1992/05/11,25歳,7年,177cm,80kg,O型,右右,東京,750万円,中日,2017
38,松井　雅人,捕手,1987/11/19,30歳,8年,179cm,78kg,A型,右左,群馬,"1,350万円",中日,2017
39,加藤　匠馬,捕手,1992/04/29,25歳,3年,175cm,74kg,B型,右右,三重,550万円,中日,2017
40,桂　依央利,捕手,1991/07/09,26歳,4年,185cm,83kg,B型,右右,大阪,"1,500万円",中日,2017
41,浅尾　拓也,投手,1984/10/22,33歳,11年,182cm,75kg,A型,右右,愛知,"7,350万円",中日,2017
42,ゲレーロ,内野手,1986/11/20,31歳,1年,182cm,99kg,不明,右右,キューバ,"15,000万円",中日,2017
43,三ツ間　卓也,投手,1992/07/22,25歳,2年,183cm,92kg,A型,右右,群馬,440万円,中日,2017
44,バルデス,投手,1977/11/27,40歳,3年,180cm,95kg,A型,左左,キューバ,"4,720万円",中日,2017
45,杉山　翔大,捕手,1991/02/10,26歳,5年,173cm,88kg,O型,右右,千葉,"2,580万円",中日,2017
46,古本　武尊,外野手,1990/12/04,27歳,5年,176cm,87kg,B型,右左,福岡,460万円,中日,2017
47,笠原　祥太郎,投手,1995/03/17,22歳,1年,177cm,85kg,A型,左左,新潟,800万円,中日,2017
48,溝脇　隼人,内野手,1994/05/17,23歳,5年,178cm,70kg,O型,右左,熊本,550万円,中日,2017
49,アラウホ,投手,1991/07/15,26歳,1年,200cm,125kg,不明,左左,ベネズエラ,"8,000万円",中日,2017
50,金子　丈,投手,1993/02/25,24歳,3年,189cm,90kg,A型,右右,大阪,600万円,中日,2017
51,京田　陽太,内野手,1994/04/20,23歳,1年,182cm,80kg,O型,右左,石川,"1,200万円",中日,2017
52,武山　真吾,捕手,1984/06/22,33歳,15年,179cm,88kg,O型,右右,愛知,"1,200万円",中日,2017
53,亀澤　恭平,内野手,1988/10/15,29歳,6年,174cm,74kg,B型,右左,岡山,"1,800万円",中日,2017
54,藤嶋　健人,投手,1998/05/08,19歳,1年,176cm,80kg,O型,右右,愛知,540万円,中日,2017
55,福田　永将,内野手,1988/07/23,29歳,11年,181cm,80kg,O型,右右,神奈川,"2,250万円",中日,2017
56,松井　佑介,外野手,1987/07/10,30歳,8年,183cm,83kg,O型,右右,大阪,"1,170万円",中日,2017
57,小川　龍也,投手,1991/09/03,26歳,8年,182cm,70kg,A型,左左,千葉,"1,300万円",中日,2017
58,八木　智哉,投手,1983/11/07,34歳,12年,181cm,78kg,O型,左左,神奈川,"1,500万円",中日,2017
59,岸本　淳希,投手,1996/02/19,21歳,4年,181cm,79kg,A型,右右,福井,420万円,中日,2017
60,谷元　圭介,投手,1985/01/28,32歳,9年,167cm,72kg,A型,右右,三重,"10,000万円",中日,2017
61,若松　駿太,投手,1995/02/28,22歳,5年,180cm,75kg,AB型,右右,福岡,"3,000万円",中日,2017
62,工藤　隆人,外野手,1981/03/30,36歳,13年,171cm,73kg,A型,左左,青森,"1,900万円",中日,2017
63,堂上　直倫,内野手,1988/09/23,29歳,11年,184cm,82kg,O型,右右,愛知,"3,300万円",中日,2017
64,小熊　凌祐,投手,1990/08/11,27歳,9年,180cm,80kg,B型,右右,滋賀,"1,600万円",中日,2017
65,伊藤　準規,投手,1991/01/07,26歳,9年,187cm,80kg,B型,右左,愛知,750万円,中日,2017
66,ビシエド,外野手,1989/03/10,28歳,2年,185cm,108kg,不明,右右,キューバ,"17,000万円",中日,2017
67,近藤　弘基,外野手,1993/02/12,24歳,3年,179cm,78kg,A型,右右,愛知,660万円,中日,2017
68,赤田　龍一郎,捕手,1988/01/07,29歳,8年,178cm,80kg,B型,右左,愛知,440万円,中日,2017
69,赤坂　和幸,外野手,1989/09/04,28歳,10年,185cm,83kg,B型,右右,神奈川,"1,000万円",中日,2017
70,谷　哲也,内野手,1985/07/09,32歳,10年,180cm,78kg,A型,右右,徳島,"1,125万円",中日,2017
91,ロンドン,投手,1988/02/16,29歳,1年,186cm,99kg,不明,右右,ベネズエラ,"5,000万円",中日,2017
99,ジョーダン,投手,1986/12/08,31歳,2年,183cm,88kg,B型,左左,ドミニカ共和国,"3,000万円",中日,2017
201,木下　雄介,投手,1993/10/10,24歳,1年,183cm,82kg,A型,右右,大阪,300万円,中日,2017
202,浜田　智博,投手,1992/10/01,25歳,3年,183cm,75kg,O型,左左,宮崎,563万円,中日,2017
203,濱田　達郎,投手,1994/08/04,23歳,5年,184cm,90kg,O型,左左,愛知,975万円,中日,2017
204,山本　雅士,投手,1994/11/03,23歳,3年,173cm,78kg,AB型,右左,広島,450万円,中日,2017
205,吉田　嵩,投手,1996/07/08,21歳,2年,185cm,83kg,A型,右右,長崎,300万円,中日,2017
206,岩﨑　達郎,内野手,1984/12/28,33歳,11年,175cm,75kg,O型,右右,神奈川,400万円,中日,2017
207,藤吉　優,捕手,1996/08/07,21歳,3年,180cm,74kg,A型,右左,福岡,300万円,中日,2017
208,西濵　幹紘,投手,1993/08/04,24歳,2年,174cm,78kg,A型,右右,三重,300万円,中日,2017
210,ウルヘエス,外野手,1993/01/09,24歳,1年,182cm,90kg,不明,右右,キューバ,"1,000万円",中日,2017
211,マルティネス,投手,1996/10/11,21歳,1年,193cm,93kg,不明,右左,キューバ,"1,000万円",中日,2017
212,渡辺　勝,外野手,1993/10/14,24歳,2年,172cm,80kg,A型,右左,神奈川,300万円,中日,2017
0,比屋根　渉,外野手,1987/06/20,30歳,6年,180cm,70kg,O型,右右,沖縄,"1,800万円",ヤクルト,2017
1,山田　哲人,内野手,1992/07/16,25歳,7年,180cm,76kg,O型,右右,兵庫,"35,000万円",ヤクルト,2017
2,大引　啓次,内野手,1984/06/29,33歳,11年,178cm,84kg,A型,右右,大阪,"7,000万円",ヤクルト,2017
3,西浦　直亨,内野手,1991/04/11,26歳,4年,178cm,75kg,B型,右右,奈良,"2,000万円",ヤクルト,2017
4,バレンティン,外野手,1984/07/02,33歳,7年,185cm,100kg,不明,右右,アンティル,"33,000万円",ヤクルト,2017
5,川端　慎吾,内野手,1987/10/16,30歳,12年,185cm,86kg,O型,右左,大阪,"16,000万円",ヤクルト,2017
8,武内　晋一,内野手,1983/12/10,34歳,12年,175cm,90kg,O型,左左,兵庫,"1,700万円",ヤクルト,2017
9,飯原　誉士,外野手,1983/04/26,34歳,12年,181cm,88kg,O型,右右,栃木,"2,700万円",ヤクルト,2017
10,荒木　貴裕,内野手,1987/07/26,30歳,8年,180cm,84kg,AB型,右右,富山,"1,900万円",ヤクルト,2017
11,由規,投手,1989/12/05,28歳,10年,179cm,80kg,A型,右左,宮城,"1,500万円",ヤクルト,2017
12,石山　泰稚,投手,1988/09/01,29歳,5年,182cm,75kg,A型,右右,秋田,"3,100万円",ヤクルト,2017
13,中尾　輝,投手,1994/09/14,23歳,1年,180cm,83kg,B型,左左,愛知,700万円,ヤクルト,2017
14,秋吉　亮,投手,1989/03/21,28歳,4年,182cm,73kg,A型,右右,東京,"11,000万円",ヤクルト,2017
16,原　樹理,投手,1993/07/19,24歳,2年,180cm,79kg,A型,右右,兵庫,"1,700万円",ヤクルト,2017
17,成瀬　善久,投手,1985/10/13,32歳,14年,180cm,87kg,AB型,左左,栃木,"14,400万円",ヤクルト,2017
18,寺島　成輝,投手,1998/07/30,19歳,1年,183cm,90kg,O型,左左,大阪,"1,200万円",ヤクルト,2017
19,石川　雅規,投手,1980/01/22,37歳,16年,167cm,73kg,A型,左左,秋田,"18,000万円",ヤクルト,2017
20,山本　哲哉,投手,1985/09/04,32歳,8年,179cm,77kg,A型,右右,和歌山,"2,500万円",ヤクルト,2017
21,松岡　健一,投手,1982/06/07,35歳,13年,181cm,85kg,AB型,右右,熊本,"4,300万円",ヤクルト,2017
22,竹下　真吾,投手,1990/10/20,27歳,3年,180cm,82kg,AB型,左左,福岡,"1,200万円",ヤクルト,2017
24,星　知弥,投手,1994/04/15,23歳,1年,183cm,78kg,O型,右右,栃木,"1,200万円",ヤクルト,2017
25,館山　昌平,投手,1981/03/17,36歳,15年,181cm,98kg,O型,右右,神奈川,"12,000万円",ヤクルト,2017
26,久古　健太郎,投手,1986/05/16,31歳,7年,181cm,82kg,A型,左左,東京,"2,700万円",ヤクルト,2017
28,ブキャナン,投手,1989/05/11,28歳,1年,191cm,90kg,不明,右右,アメリカ,"8,800万円",ヤクルト,2017
29,小川　泰弘,投手,1990/05/16,27歳,5年,171cm,80kg,A型,右右,愛知,"8,800万円",ヤクルト,2017
30,西田　明央,捕手,1992/04/28,25歳,7年,178cm,83kg,AB型,右右,京都,"1,860万円",ヤクルト,2017
31,山崎　晃大朗,外野手,1993/08/11,24歳,2年,173cm,68kg,O型,左左,和歌山,840万円,ヤクルト,2017
32,風張　蓮,投手,1993/02/26,24歳,3年,182cm,88kg,AB型,右右,岩手,"1,000万円",ヤクルト,2017
33,畠山　和洋,内野手,1982/09/13,35歳,17年,180cm,96kg,O型,右右,岩手,"13,000万円",ヤクルト,2017
34,オーレンドルフ,投手,1982/08/08,35歳,1年,193cm,108kg,不明,右右,アメリカ,"17,600万円",ヤクルト,2017
35,菊沢　竜佑,投手,1988/05/16,29歳,1年,183cm,85kg,A型,右右,秋田,600万円,ヤクルト,2017
36,廣岡　大志,内野手,1997/04/09,20歳,2年,183cm,81kg,O型,右右,大阪,630万円,ヤクルト,2017
37,星野　雄大,捕手,1988/10/19,29歳,5年,177cm,80kg,B型,右右,岡山,720万円,ヤクルト,2017
38,梅野　雄吾,投手,1999/01/13,18歳,1年,175cm,84kg,A型,右右,佐賀,580万円,ヤクルト,2017
39,リベロ,内野手,1988/05/20,29歳,1年,188cm,104kg,不明,右右,ベネズエラ,"2,000万円",ヤクルト,2017
40,グリーン,内野手,1989/06/30,28歳,1年,193cm,115kg,不明,右左,アメリカ,"5,000万円",ヤクルト,2017
41,雄平,外野手,1984/06/25,33歳,15年,174cm,83kg,A型,左左,神奈川,"7,000万円",ヤクルト,2017
42,坂口　智隆,外野手,1984/07/07,33歳,15年,181cm,82kg,O型,右左,兵庫,"7,000万円",ヤクルト,2017
43,村中　恭兵,投手,1987/10/25,30歳,12年,188cm,88kg,B型,左左,神奈川,"3,700万円",ヤクルト,2017
44,岩橋　慶侍,投手,1991/04/23,26歳,4年,185cm,84kg,AB型,左左,京都,900万円,ヤクルト,2017
